PF2,PF2
PF3,PF3
PF4,PF4
PF5,PF5
PF6,PF6
PF7,PF7
PF8,PF8
PF9,PF9
PF10,PF10
PC0,PC0
PC1,PC1
PC2,PC2
PC3,PC3
PA0,PA0
PA1,PA1
PA2,PA2
PA3,PA3
PA4,PA4
PA5,PA5
PA6,PA6
PA7,PA7
PC4,PC4
PC5,PC5
PB0,PB0
PB1,PB1
PB2,PB2
PF11,PF11
PF12,PF12
PF13,PF13
PF14,PF14
PF15,PF15
PG0,PG0
PG1,PG1
PE7,PE7
PE8,PE8
PE9,PE9
PG7,PG7
PG6,PG6
PG5,PG5
PG4,PG4
PG3,PG3
PG2,PG2
PD15,PD15
PD14,PD14
PD13,PD13
PD12,PD12
PD11,PD11
PD10,PD10
PD9,PD9
PD8,PD8
PB15,PB15
PB14,PB14
PB13,PB13
PB12,PB12
PB11,PB11
PB10,PB10
PE15,PE15
PE14,PE14
PE13,PE13
PE12,PE12
PE11,PE11
PE10,PE10
PF1,PF1
PF0,PF0
PC15,PC15
PC14,PC14
PC13,PC13
PE6,PE6
PE5,PE5
PE4,PE4
PE3,PE3
PE2,PE2
PE1,PE1
PE0,PE0
PB9,PB9
PB8,PB8
PB7,PB7
PB6,PB6
PB5,PB5
PB4,PB4
PB3,PB3
PG15,PG15
PG14,PG14
PG13,PG13
PG12,PG12
PG11,PG11
PG10,PG10
PG9,PG9
PD7,PD7
PD6,PD6
PD5,PD5
PD4,PD4
PD3,PD3
PD2,PD2
PD1,PD1
PD0,PD0
PC12,PC12
PC11,PC11
PC10,PC10
PA15,PA15
PA14,PA14
PA13,PA13
PA12,PA12
PA11,PA11
PA10,PA10
PA9,PA9
PA8,PA8
PC9,PC9
PC8,PC8
PC7,PC7
PC6,PC6
PG8,PG8
DAC1,PA4
DAC2,PA5
SRAM_CS,PG10
SF_CS,PB12
USER_LED,PC13
USER_KEY,PA15
BOOT1,PB2
USB_DM,PA11
USB_DP,PA12
SWCLK,PA14
SWDIO,PA13
OSC32_IN,PC14
OSC32_OUT,PC15
SD_D0,PC8
SD_D1,PC9
SD_D2,PC10
SD_D3,PC11
SD_CK,PC12
SD_CMD,PD2
LCD_CS,PD11
LCD_DC,PD12
LCD_BL,PD13
LCD_SCK,PB3
LCD_MOSI,PB5
ETH_MDC,PC1
ETH_MDIO,PA2
ETH_RMII_REF_CLK,PA1
ETH_RMII_CRS_DV,PA7
ETH_RMII_RXD0,PC4
ETH_RMII_RXD1,PC5
ETH_RMII_TX_EN,PB11
ETH_RMII_TXD0,PB12
ETH_RMII_TXD1,PB13
